Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
10/20/2015 9:39 AM,1000 Midway Plaisance,African American,Male,Speed,Speeding,Citation issued for expired registration,Citation Issued,No
10/20/2015 10:03 AM,5859 S University,African American,Male,Speed,Speeding,N/A,Verbal Warning,No
No traffic stops for 10/21/2015 
No traffic stops for 10/22/2015 
10/23/2015 8:48 AM,5830 S Woodlawn Ave,African American,Female,Speed,Speeding,N/A,Verbal Warning,No
10/23/2015 9:10 AM,930 E Midway Plaisance,African American,Male,Speed,Speeding,Citation issued for speeding,Citation Issued,No
10/23/2015 9:40 AM,930 E Midway Plaisance,African American,Male,Speed,Speeding,Citation issued for speeding,Citation Issued,No
No traffic stops for 10/24/2015 
No traffic stops for 10/25/2015 
No traffic stops for 10/26/2015 
No traffic stops for 10/27/2015 
No traffic stops for 10/28/2015 
10/29/2015 4:09 PM,6000 S. Woodlawn,Caucasian,Female,Other,Distracted Driving - Cell Phone,N/A,Verbal Warning,No
No traffic stops for 10/30/2015 
No traffic stops for 10/31/2015 
No traffic stops for 11/01/2015 
11/2/2015 8:14 PM,5100 S BLACKSTONE,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
No traffic stops for 11/03/2015 
11/4/2015 4:13 PM,1100 E 57th ,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 11/05/2015 
No traffic stops for 11/06/2015 
11/7/2015 8:48 PM,5300 S Greenwood,African American,Male,Other,Improper backing,N/A,Verbal Warning,No
11/8/2015 9:01 AM,5600 S Dorchester,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
No traffic stops for 11/09/2015 
11/10/2015 12:43 PM,5700 S Harper,Caucasian,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
No traffic stops for 11/11/2015 
No traffic stops for 11/12/2015 
11/13/2015 12:23 PM,Midway Plaisance & Cottage Grove,African American,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
No traffic stops for 11/14/2015 
11/15/2015 3:45 PM,5300 S Ingleside,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 11/16/2015 
No traffic stops for 11/17/2015 
No traffic stops for 11/18/2015 
11/19/2015 2:27 PM,6100 Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
