Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
6/3/2015 9:26 AM,5600 S Stony Island,African American,Female,Traffic Sign/Signal,Stop Sign Violation, Failed to Yield to Pedestrians in Crosswalk,N/A,Verbal Warning,No
6/4/2015 5:44 PM,5900 S Ellis,African American,Female,Follow Too Close,Following too closely to vehicle stopped for pedestrians, disobeyed stop sign,N/A,Verbal Warning,No
6/27/2015 11:36 AM,6121 S Cottage Grove,African American,Male,Lane Violation,Subject was driving erratically and cut off another vehicle without signaling,N/A,Verbal Warning,No
7/11/2015 10:04 PM,5500 S Cottage Grove,African American,Male,Moving Violation - Other,Failed to yield to CFD firetruck,N/A,Verbal Warning,No
7/11/2015 10:47 PM,5600 S Drexel,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
7/16/2015 12:10PM,5400 S Lake Park,Caucasian,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
7/24/2015 12:42 PM,5700 S ELLIS,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
7/26/2015 11:21 AM,5201 S Woodlawn,African American,Male,Moving Violation - Other,Was observed by R/O leaving the scene of a traffic accident,N/A,Verbal Warning,No
7/29/2015 4:02 PM,5600 S Lake Park,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/20/2015 1:03 AM,5600 S Woodlawn,Asian,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
8/29/2015 12:38 PM,1331 E 55th,African American,Female,Traffic Sign/Signal,Almost hit pedestrian in crosswalk,N/A,Verbal Warning,No
9/10/2015 9:48 AM,5900 S Dorchester,Caucasian,Male,Traffic Sign/Signal,Failure To Stop At Stop Sign,N/A,Verbal Warning,NO
9/10/2015 10:31 AM,E/B Midway Plaisance & Cornell,African American,Male,Moving Violation - Other,Speeding in School /Construction zone,N/A,Verbal Warning,NO
9/12/2015 9:30 PM,6000 Dorchester,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,Yes
9/15/2015 7:47 PM,1362 E 58th ,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
9/17/2015 8:06 PM,5300 Dorchester,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
